"","site","dat"
"679","55101000071","fia_small"
"680","55101000076","fia_small"
"681","55101000084","fia_small"
"682","55115000014","fia_small"
"683","55115000019","fia_small"
"684","55115000046","fia_small"
"685","55115000058","fia_small"
"686","55115000083","fia_small"
"687","55121000015","fia_small"
"688","55121000016","fia_small"
"689","55121000035","fia_small"
"690","55129000017","fia_small"
"691","55129000036","fia_small"
"692","55129000038","fia_small"
"693","55129000044","fia_small"
"694","55129000046","fia_small"
"695","55135000002","fia_small"
"696","55135000020","fia_small"
"697","55135000032","fia_small"
"698","55135000035","fia_small"
"699","55135000036","fia_small"
"700","55135000042","fia_small"
"701","55135000048","fia_small"
"702","55137000014","fia_small"
"703","55137000016","fia_small"
"704","55137000032","fia_small"
"705","55137000034","fia_small"
"706","55141000005","fia_small"
"707","55141000008","fia_small"
"708","55141000029","fia_small"
"709","55141000062","fia_small"
"710","55141000067","fia_small"
"711","55141000070","fia_small"
"712","55143000042","fia_small"
"713","55143000049","fia_small"
"714","55145000004","fia_small"
"715","55145000056","fia_small"
"716","55145000067","fia_small"
"717","55145000078","fia_small"
"718","61015056558","fia_small"
"719","61015059028","fia_small"
"720","61015062830","fia_small"
"721","61015078629","fia_small"
"722","61015080385","fia_small"
"723","61015081910","fia_small"
"724","61015092929","fia_small"
"725","61023052439","fia_small"
"726","61023055425","fia_small"
"727","61023060656","fia_small"
"728","61023070306","fia_small"
"729","61023075990","fia_small"
"730","61023082307","fia_small"
"731","61023088038","fia_small"
"732","61023098016","fia_small"
"733","61023098662","fia_small"
"734","61045055828","fia_small"
"735","61045058546","fia_small"
"736","61045061223","fia_small"
"737","61045063428","fia_small"
"738","61045068699","fia_small"
"739","61045072157","fia_small"
"740","61045074283","fia_small"
"741","61045074500","fia_small"
"742","61045074794","fia_small"
"743","61045078031","fia_small"
"744","61045079117","fia_small"
"745","61045090301","fia_small"
"746","61045091292","fia_small"
"747","61045094236","fia_small"
"748","61045095558","fia_small"
"749","61045098358","fia_small"
"750","61097058853","fia_small"
"751","61097063577","fia_small"
"752","61097069013","fia_small"
"753","61097080874","fia_small"
"754","61097092387","fia_small"
"755","61097098944","fia_small"
"756","62035053365","fia_small"
"757","62035053400","fia_small"
"758","62035056171","fia_small"
"759","62035058697","fia_small"
"760","62035085123","fia_small"
"761","62035096556","fia_small"
"762","62049070375","fia_small"
"763","62049077038","fia_small"
"764","62049093623","fia_small"
"765","62089051410","fia_small"
"766","62089055280","fia_small"
"767","62089055305","fia_small"
"768","62089055696","fia_small"
"769","62089065663","fia_small"
"770","62089069149","fia_small"
"771","62089069796","fia_small"
"772","62089079459","fia_small"
"773","62089079525","fia_small"
