"","s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
"106",35,4708,"sampled","portal_plants","1998_winter",FALSE,4000,0.857418501185373,0.881034420393347,0.911370408475505,0.101031648258284,0.0363670351477008
"107",7,215,"sampled","portal_plants","1999_winter",FALSE,4000,0.669883985207024,0.673448458263678,0.824773262000232,0.172940697674419,0.104140329520596
"108",2,12,"sampled","portal_plants","2000_winter",FALSE,21,-Inf,-Inf,NA,0.198412698412698,0.150747104834148
"109",37,5130,"sampled","portal_plants","2001_winter",FALSE,3999,0.86445792060665,0.883994457363235,0.91697927104701,0.0978505835035757,0.0345541897847654
"110",15,2125,"sampled","portal_plants","2002_winter",FALSE,3995,0.778745540832783,0.792418504306036,0.875832063103816,0.135125848487079,0.0647763507607562
"111",17,4675,"sampled","portal_plants","2003_winter",FALSE,3999,0.787914785140863,0.807411037931096,0.880417550698881,0.127366707987157,0.0581623232548733
"112",34,5853,"sampled","portal_plants","2004_winter",FALSE,3999,0.856033146705044,0.879458722144646,0.911044920619991,0.10134747936087,0.0367857590325903
"113",36,13098,"sampled","portal_plants","2005_winter",FALSE,3999,0.863983926439693,0.884796682843189,0.915833122716803,0.0957143011512536,0.0332252513383442
"114",7,2594,"sampled","portal_plants","2006_winter",FALSE,4000,0.692970166384658,0.677411200213991,0.832874721055326,0.16690198535081,0.0995250646684201
"115",30,4059,"sampled","portal_plants","2007_winter",FALSE,3999,0.821916687795951,0.864671132718889,0.904443120534489,0.106836884140966,0.0417050687391348
"116",24,3787,"sampled","portal_plants","2008_winter",FALSE,3997,0.825147945631475,0.845991882922207,0.896639141646516,0.115018928574567,0.0469902767124808
"117",3,5,"sampled","portal_plants","2009_winter",FALSE,3,0.5,0.465714799259435,0.5,0.133333333333333,0.0697664191686063
"118",4,443,"sampled","portal_plants","2011_winter",FALSE,3999,0.657395716755596,0.569344757182959,0.817653992861855,0.18314059327473,0.12226329296566
"119",26,4370,"sampled","portal_plants","2012_winter",FALSE,3998,0.839933491299801,0.856667876413764,0.899953194987592,0.110420313131394,0.0436298725260056
"120",13,238,"sampled","portal_plants","2013_winter",FALSE,3998,0.698683411629557,0.749533253769626,0.84616283028712,0.15586469705441,0.0852810073138262
"121",29,2609,"sampled","portal_plants","2014_winter",FALSE,3996,0.834941706063765,0.862687900271639,0.901302675147957,0.110468843699967,0.043827785192354
"122",39,1904,"sampled","portal_plants","2015_winter",FALSE,4000,0.850420932898322,0.872056134953674,0.909679358454464,0.105999343487395,0.040473199078452
"123",21,260,"sampled","portal_plants","2016_winter",FALSE,4000,0.745739009502385,0.771413267473451,0.863448514165481,0.147125961538462,0.0768218100687806
"124",32,3052,"sampled","portal_plants","2017_winter",FALSE,3997,0.849408995713971,0.870735391753468,0.909641884023566,0.105473436663343,0.0398464740702266
"125",18,997,"sampled","portal_plants","2018_winter",FALSE,3998,0.785899327496998,0.812228018377225,0.877476930695253,0.13140522116625,0.0608138464143452
"126",31,6490,"sampled","portal_plants","2019_winter",FALSE,3999,0.849283719182701,0.873044063406723,0.907738304132544,0.104306931894761,0.0387413320536304
