"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","misc_abund_short","518_jacknife_9",FALSE,14,1127,-99,"13423331239056840460",0.196095829636202,0.802752422852312,3377,0.101664502194759,0.882734586464382,0.913897237061624,3999,95.6239059764941,95.5488872218055,14.9037259314829,14.9037259314829
"observed","misc_abund_short","267_jacknife_1",FALSE,13,115,-99,"28722450",0.130434782608696,0.833236151603499,2096,0.124365874077215,0.818430059676421,0.872821767043718,3999,67.1667916979245,61.3153288322081,35.3088272068017,35.3088272068017
"observed","misc_abund_short","267_jacknife_10",FALSE,13,115,-99,"28722450",0.0608695652173913,0.971192586623691,2396,0.122280570142536,0.805155526920154,0.877279193068667,3999,6.92673168292073,3.42585646411603,97.474368592148,97.474368592148
"observed","misc_abund_short","267_jacknife_2",FALSE,13,115,-99,"28722450",0.0869565217391304,0.919714964370546,2410,0.121260749970101,0.811571306530057,0.882032667876588,3999,29.057264316079,19.3798449612403,68.0670167541885,68.0670167541885
"observed","misc_abund_short","267_jacknife_3",FALSE,13,115,-99,"28722450",0.0782608695652174,0.935154394299287,2093,0.122108788066582,0.782251499201599,0.868433734939759,3999,18.1295323830958,11.4278569642411,80.8202050512628,80.8202050512628
"observed","misc_abund_short","267_jacknife_4",FALSE,13,115,-99,"28722450",0.0869565217391304,0.881609870740306,31,0.121789142937908,0.808644183552535,0.877059750680613,3999,28.5571392848212,20.3050762690673,51.8129532383096,51.8129532383096
"observed","misc_abund_short","267_jacknife_5",FALSE,13,115,-99,"28722450",0.0695652173913043,0.946779475982533,2849,0.120451852093458,0.794845429906992,0.873830155979203,3999,12.7281820455114,7.47686921730433,86.3215803950988,86.3215803950988
"observed","misc_abund_short","267_jacknife_6",FALSE,13,115,-99,"28722450",0.0956521739130435,0.88524011299435,438,0.122056601106798,0.825880684139191,0.879054563741514,3999,39.8599649912478,30.9827456864216,53.1132783195799,53.1132783195799
"observed","misc_abund_short","267_jacknife_7",FALSE,13,115,-99,"28722450",0.0695652173913043,0.954395965796974,3564,0.122154451656392,0.811366739136488,0.87921494936841,3999,13.0782695673918,7.2768192048012,90.3725931482871,90.3725931482871
"observed","misc_abund_short","267_jacknife_8",FALSE,13,115,-99,"28722450",0.0521739130434783,0.951588877855015,2777,0.119888204972051,0.804234453115917,0.881140604327252,3998,4.10205102551276,1.57578789394697,88.1690845422711,88.1690845422711
