"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1619_jacknife_7",FALSE,3,353,-99,"10384",0.175637393767705,0.702171254833273,2034,0.136680227480884,-0.893343837613876,0.820071924067051,3325,74.3458646616541,73.3834586466165,31.1278195488722,31.1278195488722
"observed","mcdb","1619_jacknife_8",FALSE,3,353,-99,"10384",0.195467422096317,0.646063524522577,949,0.136302601004231,-2.07014425008297,0.823416771611434,3327,82.2061917643523,81.2443642921551,28.253681995792,28.253681995792
"observed","mcdb","1619_jacknife_9",FALSE,3,353,-99,"10384",0.178470254957507,0.712431979907911,95,0.135396480092524,-10.1235158268491,0.825014788115797,3292,75.3948967193196,74.1494532199271,33.4447144592953,33.4143377885784
"observed","mcdb","1625_jacknife_1",FALSE,3,21,-99,"37",0,1,-99,0.133597883597884,-Inf,0.76844262295082,36,2.77777777777778,0,100,97.2222222222222
"observed","mcdb","1625_jacknife_10",FALSE,3,21,-99,"37",0.0476190476190476,0.967741935483871,6,0.136243386243386,-Inf,0.76844262295082,36,16.6666666666667,0,100,97.2222222222222
"observed","mcdb","1625_jacknife_2",FALSE,3,21,-99,"37",0.142857142857143,0.865384615384615,4,0.136243386243386,-Inf,0.76844262295082,36,72.2222222222222,47.2222222222222,66.6666666666667,63.8888888888889
"observed","mcdb","1625_jacknife_3",FALSE,3,21,-99,"37",0.0952380952380952,0.857142857142857,28,0.136243386243386,-Inf,0.76844262295082,36,47.2222222222222,16.6666666666667,63.8888888888889,58.3333333333333
"observed","mcdb","1625_jacknife_4",FALSE,3,21,-99,"37",0.0476190476190476,0.9375,25,0.136243386243386,-Inf,0.76844262295082,36,16.6666666666667,0,88.8888888888889,86.1111111111111
"observed","mcdb","1625_jacknife_5",FALSE,3,21,-99,"37",0.0476190476190476,0.964285714285714,21,0.136243386243386,-Inf,0.76844262295082,36,16.6666666666667,0,97.2222222222222,94.4444444444444
"observed","mcdb","1625_jacknife_6",FALSE,3,21,-99,"37",0.0476190476190476,0.923076923076923,5,0.136243386243386,-Inf,0.76844262295082,36,16.6666666666667,0,86.1111111111111,80.5555555555556
"observed","mcdb","1625_jacknife_7",FALSE,3,21,-99,"37",0.0476190476190476,0.947368421052632,16,0.136243386243386,-Inf,0.76844262295082,36,16.6666666666667,0,91.6666666666667,88.8888888888889
