"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
2028,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.29958689122052,3.35559179579634,0.95566362299511,4,0.354385964912281,16.975,77.575,80.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.92670868331128,3.13812537178049,0.938586231661024,0,0.27719298245614,55.325,16.475,20.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.81514866461924,3.15018111563785,0.933160972606956,0,0.237426900584795,88.825,18.825,11.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.28067780648904,3.31620638059231,0.953146609213091,0,0.346198830409357,16.1,67.15,71.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.55907475716887,3.23675618609131,0.948202865839062,4,0.321637426900585,32.125,40.925,51.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2033,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.58559455502965,3.35060598132225,0.952008481242092,2,0.308771929824561,83.25,76.35,66.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2034,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.52070668241003,3.24460413457145,0.943278273656852,3,0.272514619883041,81.3,43.35,33.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.8602544870968,3.29592852169983,0.950030436715571,4,0.31812865497076,51,60.425,58.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.49999925235908,3.18961929570425,0.941382305666701,5,0.273684210526316,80.65,27.925,27.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2037,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.82457972532321,3.35945944648471,0.954623986867754,2,0.332163742690058,48.775,78.825,77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
