"rank","abund","site","dat","singletons","sim","source"
3,1,"13047000060","fia_small",FALSE,-99,"observed"
4,1,"13047000060","fia_small",FALSE,-99,"observed"
1,1,"13047000067","fia_small",FALSE,-99,"observed"
2,1,"13047000067","fia_small",FALSE,-99,"observed"
3,1,"13047000067","fia_small",FALSE,-99,"observed"
4,1,"13047000067","fia_small",FALSE,-99,"observed"
5,1,"13047000067","fia_small",FALSE,-99,"observed"
1,1,"13047000074","fia_small",FALSE,-99,"observed"
1,1,"13047000077","fia_small",FALSE,-99,"observed"
2,1,"13047000077","fia_small",FALSE,-99,"observed"
1,1,"13047000087","fia_small",FALSE,-99,"observed"
2,1,"13047000087","fia_small",FALSE,-99,"observed"
1,1,"13047000100","fia_small",FALSE,-99,"observed"
2,1,"13047000100","fia_small",FALSE,-99,"observed"
3,1,"13047000100","fia_small",FALSE,-99,"observed"
1,1,"13051000032","fia_small",FALSE,-99,"observed"
2,1,"13051000032","fia_small",FALSE,-99,"observed"
3,1,"13051000032","fia_small",FALSE,-99,"observed"
4,1,"13051000032","fia_small",FALSE,-99,"observed"
5,1,"13051000032","fia_small",FALSE,-99,"observed"
1,1,"13051000038","fia_small",FALSE,-99,"observed"
2,1,"13051000038","fia_small",FALSE,-99,"observed"
3,1,"13051000038","fia_small",FALSE,-99,"observed"
1,1,"13051000042","fia_small",FALSE,-99,"observed"
2,1,"13051000042","fia_small",FALSE,-99,"observed"
1,1,"13051000057","fia_small",FALSE,-99,"observed"
2,1,"13051000057","fia_small",FALSE,-99,"observed"
3,1,"13051000057","fia_small",FALSE,-99,"observed"
1,1,"13051000065","fia_small",FALSE,-99,"observed"
2,1,"13051000065","fia_small",FALSE,-99,"observed"
3,1,"13051000065","fia_small",FALSE,-99,"observed"
1,1,"13051000066","fia_small",FALSE,-99,"observed"
2,1,"13051000066","fia_small",FALSE,-99,"observed"
3,1,"13051000066","fia_small",FALSE,-99,"observed"
1,1,"13051000079","fia_small",FALSE,-99,"observed"
2,1,"13051000079","fia_small",FALSE,-99,"observed"
1,1,"13051000080","fia_small",FALSE,-99,"observed"
2,1,"13051000080","fia_small",FALSE,-99,"observed"
3,1,"13051000080","fia_small",FALSE,-99,"observed"
1,1,"13061000030","fia_small",FALSE,-99,"observed"
2,1,"13061000030","fia_small",FALSE,-99,"observed"
1,1,"13061000033","fia_small",FALSE,-99,"observed"
2,1,"13061000033","fia_small",FALSE,-99,"observed"
1,1,"13061000045","fia_small",FALSE,-99,"observed"
1,1,"13067000014","fia_small",FALSE,-99,"observed"
1,1,"13067000044","fia_small",FALSE,-99,"observed"
2,1,"13067000044","fia_small",FALSE,-99,"observed"
3,1,"13067000044","fia_small",FALSE,-99,"observed"
1,1,"13067000052","fia_small",FALSE,-99,"observed"
1,1,"13067000056","fia_small",FALSE,-99,"observed"
2,1,"13067000056","fia_small",FALSE,-99,"observed"
3,1,"13067000056","fia_small",FALSE,-99,"observed"
4,1,"13067000056","fia_small",FALSE,-99,"observed"
1,1,"13069000016","fia_small",FALSE,-99,"observed"
2,1,"13069000016","fia_small",FALSE,-99,"observed"
3,1,"13069000016","fia_small",FALSE,-99,"observed"
1,1,"13069000080","fia_small",FALSE,-99,"observed"
2,1,"13069000080","fia_small",FALSE,-99,"observed"
3,1,"13069000080","fia_small",FALSE,-99,"observed"
1,1,"13081000003","fia_small",FALSE,-99,"observed"
2,1,"13081000003","fia_small",FALSE,-99,"observed"
3,1,"13081000003","fia_small",FALSE,-99,"observed"
4,1,"13081000003","fia_small",FALSE,-99,"observed"
1,1,"13081000021","fia_small",FALSE,-99,"observed"
1,1,"13081000052","fia_small",FALSE,-99,"observed"
2,1,"13081000052","fia_small",FALSE,-99,"observed"
3,1,"13081000052","fia_small",FALSE,-99,"observed"
4,1,"13081000052","fia_small",FALSE,-99,"observed"
1,1,"13081000061","fia_small",FALSE,-99,"observed"
1,1,"13081000062","fia_small",FALSE,-99,"observed"
1,1,"13081000067","fia_small",FALSE,-99,"observed"
2,1,"13081000067","fia_small",FALSE,-99,"observed"
1,1,"13081000074","fia_small",FALSE,-99,"observed"
2,1,"13081000074","fia_small",FALSE,-99,"observed"
3,1,"13081000074","fia_small",FALSE,-99,"observed"
1,1,"13085000018","fia_small",FALSE,-99,"observed"
2,1,"13085000018","fia_small",FALSE,-99,"observed"
3,1,"13085000018","fia_small",FALSE,-99,"observed"
1,1,"13087000005","fia_small",FALSE,-99,"observed"
2,1,"13087000005","fia_small",FALSE,-99,"observed"
1,1,"13087000025","fia_small",FALSE,-99,"observed"
2,1,"13087000025","fia_small",FALSE,-99,"observed"
3,1,"13087000025","fia_small",FALSE,-99,"observed"
1,1,"13087000027","fia_small",FALSE,-99,"observed"
2,1,"13087000027","fia_small",FALSE,-99,"observed"
3,1,"13087000027","fia_small",FALSE,-99,"observed"
1,1,"13087000028","fia_small",FALSE,-99,"observed"
2,1,"13087000028","fia_small",FALSE,-99,"observed"
3,1,"13087000028","fia_small",FALSE,-99,"observed"
1,1,"13101000046","fia_small",FALSE,-99,"observed"
2,1,"13101000046","fia_small",FALSE,-99,"observed"
3,1,"13101000046","fia_small",FALSE,-99,"observed"
1,1,"13101000056","fia_small",FALSE,-99,"observed"
2,1,"13101000056","fia_small",FALSE,-99,"observed"
3,1,"13101000056","fia_small",FALSE,-99,"observed"
1,1,"13101000063","fia_small",FALSE,-99,"observed"
2,1,"13101000063","fia_small",FALSE,-99,"observed"
1,1,"13101000092","fia_small",FALSE,-99,"observed"
1,1,"13109000015","fia_small",FALSE,-99,"observed"
1,1,"13109000055","fia_small",FALSE,-99,"observed"
2,1,"13109000055","fia_small",FALSE,-99,"observed"
3,1,"13109000055","fia_small",FALSE,-99,"observed"
4,1,"13109000055","fia_small",FALSE,-99,"observed"
5,1,"13109000055","fia_small",FALSE,-99,"observed"
1,1,"13113000011","fia_small",FALSE,-99,"observed"
2,1,"13113000011","fia_small",FALSE,-99,"observed"
3,1,"13113000011","fia_small",FALSE,-99,"observed"
1,1,"13113000023","fia_small",FALSE,-99,"observed"
1,1,"13113000028","fia_small",FALSE,-99,"observed"
2,1,"13113000028","fia_small",FALSE,-99,"observed"
3,1,"13113000028","fia_small",FALSE,-99,"observed"
1,1,"13113000029","fia_small",FALSE,-99,"observed"
1,1,"13113000074","fia_small",FALSE,-99,"observed"
1,1,"13113000083","fia_small",FALSE,-99,"observed"
2,1,"13113000083","fia_small",FALSE,-99,"observed"
3,1,"13113000083","fia_small",FALSE,-99,"observed"
1,1,"13123000048","fia_small",FALSE,-99,"observed"
2,1,"13123000048","fia_small",FALSE,-99,"observed"
3,1,"13123000048","fia_small",FALSE,-99,"observed"
1,1,"13123000052","fia_small",FALSE,-99,"observed"
2,1,"13123000052","fia_small",FALSE,-99,"observed"
3,1,"13123000052","fia_small",FALSE,-99,"observed"
4,1,"13123000052","fia_small",FALSE,-99,"observed"
1,1,"13123000054","fia_small",FALSE,-99,"observed"
2,1,"13123000054","fia_small",FALSE,-99,"observed"
1,1,"14007000033","fia_small",FALSE,-99,"observed"
2,1,"14007000033","fia_small",FALSE,-99,"observed"
3,1,"14007000033","fia_small",FALSE,-99,"observed"
4,1,"14007000033","fia_small",FALSE,-99,"observed"
1,1,"14007000042","fia_small",FALSE,-99,"observed"
1,1,"14007000051","fia_small",FALSE,-99,"observed"
2,1,"14007000051","fia_small",FALSE,-99,"observed"
3,1,"14007000051","fia_small",FALSE,-99,"observed"
4,1,"14007000051","fia_small",FALSE,-99,"observed"
