"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1559",TRUE,8,15,-99,"15",0.2,0.673469387755102,12,0.119047619047619,-0.642709006388875,14,92.8571428571429,78.5714285714286,42.8571428571429,35.7142857142857
"observed","mcdb","1560",TRUE,3,17,-99,"24",0.294117647058824,0.678571428571429,22,0.135549872122762,-1.37074069379795,23,100,95.6521739130435,43.4782608695652,39.1304347826087
"observed","mcdb","1561",TRUE,2,13,-99,"6",0,1,-99,0.0923076923076923,0.576121620242832,5,20,0,100,80
"observed","mcdb","1562",TRUE,2,11,-99,"5",0,1,-99,0.0909090909090909,0.50320987654321,4,25,0,100,75
"observed","mcdb","1563",TRUE,4,11,-99,"11",0.272727272727273,0.619047619047619,5,0.127272727272727,-0.077615352533254,10,100,90,40,30
"observed","mcdb","1564",TRUE,2,6,-99,"3",0,1,-99,0.0833333333333333,0.875,2,50,0,100,50
"observed","mcdb","1565",TRUE,6,6,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1566",TRUE,4,8,-99,"5",0.125,0.833333333333333,3,0.15625,-Inf,4,75,0,100,75
"observed","mcdb","1567",TRUE,1,3,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1568",TRUE,8,11,-99,"3",0.0909090909090909,0.746031746031746,1,0.0909090909090909,0.33968253968254,2,100,0,100,50
"observed","mcdb","1569",TRUE,5,14,-99,"23",0.0714285714285714,0.880952380952381,17,0.133116883116883,-0.121776770010638,22,36.3636363636364,0,86.3636363636364,81.8181818181818
"observed","mcdb","1570",TRUE,5,17,-99,"47",0.117647058823529,0.867256637168142,4,0.130434782608696,0.305823353352672,46,65.2173913043478,28.2608695652174,73.9130434782609,71.7391304347826
"observed","mcdb","1571",TRUE,1,4,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1572",TRUE,6,7,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1573",TRUE,8,13,-99,"7",0.0769230769230769,0.483870967741935,2,0.102564102564103,0.220413988637927,6,66.6666666666667,0,33.3333333333333,16.6666666666667
"observed","mcdb","1574",TRUE,5,12,-99,"13",0.0833333333333333,0.782608695652174,13,0.125,0.154005704389307,12,58.3333333333333,0,75,66.6666666666667
"observed","mcdb","1575",TRUE,5,13,-99,"18",0.230769230769231,0.67741935483871,5,0.131221719457014,0.343233587651606,17,94.1176470588235,88.2352941176471,41.1764705882353,35.2941176470588
